text,new_text,task_type,person,time
Создай задачу: Подготовить отчет к 15:00 завтра на Анну.,создавать задача :  подготовить отчет к 15 : 00 завтра на анна,создавать задача,анна,"['15', '00', 'завтра']"
Создай задание: Отправить приглашения на собрание к 10:00 утра на Ивана.,создавать задание :  отправлять приглашение на собрание к 10 : 00 утро на иван,создавать задание,иван,"['10', '00', 'утро']"
Создай задачу: Разработать презентацию к 18:00 сегодня на Сергея.,создавать задача :  разрабатывать презентация к 18 : 00 сегодня на сергей,создавать задача,сергей,"['18', '00', 'сегодня']"
Назначь обязанность: Провести собрание с командой в 14:30 завтра на Ольгу.,назначать обязанность :  проводить собрание с команда в 14 : 30 завтра на ольга,назначать обязанность,ольга,"['14', '30', 'завтра']"
Поставь задачу: Подготовить план мероприятий к 12:00 на следующий день на Наталью.,поставлять задача :  подготовить план мероприятие к 12 : 00 на следующий день на наталья,поставлять задача,наталья,"['12', '00', 'день']"
Задай задачу: Отправить письмо с уточнениями к 16:00 сегодня на Василия.,задавать задача :  отправлять письмо с уточнение к 16 : 00 сегодня на василий,задавать задача,василий,"['16', '00', 'сегодня']"
Создай задачу: Проверить документацию к 9:30 утра завтра на Дениса.,создавать задача :  проверять документация к 9 : 30 утро завтра на денис,создавать задача,денис,"['9', '30', 'утро', 'завтра']"
Дай поручение: Разработать бюджет проекта к 17:00 сегодня на Екатерину.,давать поручение :  разрабатывать бюджет проект к 17 : 00 сегодня на екатерина,давать поручение,екатерина,"['17', '00', 'сегодня']"
Создай задачу: Провести тренинг сотрудников к 11:00 утра на Артура.,создавать задача :  проводить тренинг сотрудник к 11 : 00 утро на артур,создавать задача,артур,"['11', '00', 'утро']"
Создай задачу: Подготовить резюме к 14:00 завтра на Марину.,создавать задача :  подготовить резюме к 14 : 00 завтра на марина,создавать задача,марина,"['14', '00', 'завтра']"
Создай задачу: Подготовить презентацию к 10:00 утра на Ивана.,создавать задача :  подготовить презентация к 10 : 00 утро на иван,создавать задача,иван,"['10', '00', 'утро']"
Создай задачу: Провести собрание с командой к 15:30 сегодня на Анну.,создавать задача :  проводить собрание с команда к 15 : 30 сегодня на анна,создавать задача,анна,"['15', '30', 'сегодня']"
Создай задачу: Отправить отчет до конца дня на Сергея.,создавать задача :  отправлять отчет до конец день на сергей,создавать задача,сергей,['день']
Создай задачу: Разработать стратегию маркетинга к 14:00 завтра на Наталью.,создавать задача :  разрабатывать стратегия маркетинг к 14 : 00 завтра на наталья,создавать задача,наталья,"['14', '00', 'завтра']"
Создай задачу: Проверить бюджет к 16:30 утра завтра на Ольгу.,создавать задача :  проверять бюджет к 16 : 30 утро завтра на ольга,создавать задача,ольга,"['16', '30', 'утро', 'завтра']"
Создай задачу: Согласовать график работы сотрудников к 12:00 на Дениса.,создавать задача :  согласовывать график работа сотрудник к 12 : 00 на денис,создавать задача,денис,"['12', '00']"
Создай задачу: Подготовить отчет о выполнении проекта к 18:00 сегодня на Василия.,создавать задача :  подготовить отчет о выполнение проект к 18 : 00 сегодня на василий,создавать задача,василий,"['18', '00', 'сегодня']"
Создай задачу: Провести обучение новых сотрудников к 11:30 утра на Екатерину.,создавать задача :  проводить обучение новый сотрудник к 11 : 30 утро на екатерина,создавать задача,екатерина,"['11', '30', 'утро']"
Создай задачу: Отправить приглашения на корпоративное мероприятие к 13:00 завтра на Артура.,создавать задача :  отправлять приглашение на корпоративный мероприятие к 13 : 00 завтра на артур,создавать задача,артур,"['13', '00', 'завтра']"
Создай задачу: Разработать план мероприятий к 17:30 сегодня на Марину.,создавать задача :  разрабатывать план мероприятие к 17 : 30 сегодня на марина,создавать задача,марина,"['17', '30', 'сегодня']"
Создай задачу: Подготовить аналитический отчет к 9:00 утра на Катю.,создавать задача :  подготовить аналитический отчет к 9 : 00 утро на катя,создавать задача,,"['9', '00', 'утро']"
Создай задачу: Организовать встречу с клиентом к 14:30 завтра на Владимира.,создавать задача :  организовывать встреча с клиент к 14 : 30 завтра на владимир,создавать задача,владимир,"['14', '30', 'завтра']"
Создай задачу: Провести интервью с кандидатами к 16:00 сегодня на Людмилу.,создавать задача :  проводить интервью с кандидат к 16 : 00 сегодня на людмила,создавать задача,людмила,"['16', '00', 'сегодня']"
Создай задачу: Отправить письмо с запросом на информацию к 10:30 утра завтра на Павла.,создавать задача :  отправлять письмо с запрос на информация к 10 : 30 утро завтра на павел,создавать задача,павел,"['10', '30', 'утро', 'завтра']"
Создай задачу: Проверить выполнение задачи по проекту к 15:00 сегодня на Софию.,создавать задача :  проверять выполнение задача по проект к 15 : 00 сегодня на софия,создавать задача,софия,"['15', '00', 'сегодня']"
Создай задачу: Подготовить список необходимых закупок к 11:45 утра на Михаила.,создавать задача :  подготовить список необходимый закупка к 11 : 45 утро на михаил,создавать задача,михаил,"['11', '45', 'утро']"
Создай задачу: Разработать новый дизайн сайта к 14:45 завтра на Ирину.,создавать задача :  разрабатывать новый дизайн сайт к 14 : 45 завтра на ирина,создавать задача,ирина,"['14', '45', 'завтра']"
Создай задачу: Провести аудит безопасности к 16:15 сегодня на Виктора.,создавать задача :  проводить аудит безопасность к 16 : 15 сегодня на виктор,создавать задача,виктор,"['16', '15', 'сегодня']"
Создай задачу: Отправить документы на согласование к 9:30 утра завтра на Алису.,создавать задача :  отправлять документ на согласование к 9 : 30 утро завтра на алиса,создавать задача,алиса,"['9', '30', 'утро', 'завтра']"
Создай задачу: Подготовить материалы для пресс-конференции к 17:45 сегодня на Дмитрия.,создавать задача :  подготовить материал для пресс-конференция к 17 : 45 сегодня на дмитрий,создавать задача,дмитрий,"['17', '45', 'сегодня']"
Создай задачу: Провести тренинг по управлению временем к 10:15 утра на Елену.,создавать задача :  проводить тренинг по управление время к 10 : 15 утро на елена,создавать задача,елена,"['10', '15', 'утро']"
Создай задачу: Отправить предложение по сотрудничеству к 12:30 завтра на Игоря.,создавать задача :  отправлять предложение по сотрудничество к 12 : 30 завтра на игорь,создавать задача,игорь,"['12', '30', 'завтра']"
Создай задачу: Разработать план маркетинговых мероприятий к 14:45 сегодня на Ангелину.,создавать задача :  разрабатывать план маркетинговый мероприятие к 14 : 45 сегодня на ангелина,создавать задача,ангелина,"['14', '45', 'сегодня']"
Создай задачу: Провести обзор рынка к 16:30 утра завтра на Валентина.,создавать задача :  проводить обзор рынок к 16 : 30 утро завтра на валентина,создавать задача,валентина,"['16', '30', 'утро', 'завтра']"
Создай задачу: Организовать онлайн-конференцию к 11:00 утра на Анну.,создавать задача :  организовывать онлайн - конференция к 11 : 00 утро на анна,создавать задача,анна,"['11', '00', 'утро']"
Создай задачу: Подготовить отчет о выполненной работе к 15:15 сегодня на Станислава.,создавать задача :  подготовить отчет о выполнять работа к 15 : 15 сегодня на станислав,создавать задача,станислав,"['15', '15', 'сегодня']"
Создай задачу: Отправить уведомление о встрече к 17:00 завтра на Веронику.,создавать задача :  отправлять уведомление о встреча к 17 : 00 завтра на вероника,создавать задача,вероника,"['17', '00', 'завтра']"
Создай задачу: Разработать промо-ролик к 10:45 утра на Григория.,создавать задача :  разрабатывать промой - ролик к 10 : 45 утро на григорий,создавать задача,григорий,"['10', '45', 'утро']"
Создай задачу: Проверить правильность документов к 13:15 сегодня на Евгению.,создавать задача :  проверять правильность документ к 13 : 15 сегодня на евгений,создавать задача,евгений,"['13', '15', 'сегодня']"
Создай задачу: Подготовить план обучения сотрудников к 18:30 завтра на Татьяну.,создавать задача :  подготовить план обучение сотрудник к 18 : 30 завтра на татьяна,создавать задача,татьяна,"['18', '30', 'завтра']"
Создай задачу: Провести совещание по текущим проектам к 9:15 утра на Романа.,создавать задача :  проводить совещание по текущий проект к 9 : 15 утро на роман,создавать задача,роман,"['9', '15', 'утро']"
Создай задачу: Отправить запрос на информацию к 14:00 сегодня на Ярослава.,создавать задача :  отправлять запрос на информация к 14 : 00 сегодня на ярослав,создавать задача,ярослав,"['14', '00', 'сегодня']"
Создай задачу: Разработать стратегию продвижения продукта к 16:45 утра завтра на Нину.,создавать задача :  разрабатывать стратегия продвижение продукт к 16 : 45 утро завтра на нина,создавать задача,нина,"['16', '45', 'утро', 'завтра']"
Создай задачу: Отправить уведомление о важной встрече к 11:30 утра на Полину.,создавать задача :  отправлять уведомление о важный встреча к 11 : 30 утро на полина,создавать задача,полина,"['11', '30', 'утро']"
Создай задачу: Подготовить отчет о финансовом состоянии к 15:45 сегодня на Максима.,создавать задача :  подготовить отчет о финансовый состояние к 15 : 45 сегодня на максим,создавать задача,максим,"['15', '45', 'сегодня']"
Создай задачу: Проверить выполнение задачи по графику к 17:15 завтра на Валерию.,создавать задача :  проверять выполнение задача по график к 17 : 15 завтра на валерий,создавать задача,валерий,"['17', '15', 'завтра']"
Создай задачу: Провести презентацию нового продукта к 10:30 утра на Юлию.,создавать задача :  проводить презентация новый продукт к 10 : 30 утро на юлия,создавать задача,юлия,"['10', '30', 'утро']"
Создай задачу: Отправить уведомление о срочном совещании к 13:45 сегодня на Ирину.,создавать задача :  отправлять уведомление о срочный совещание к 13 : 45 сегодня на ирина,создавать задача,ирина,"['13', '45', 'сегодня']"
Создай задачу: Разработать план обучения персонала к 16:00 завтра на Софью.,создавать задача :  разрабатывать план обучение персонал к 16 : 00 завтра на софья,создавать задача,софья,"['16', '00', 'завтра']"
Создай задачу: Подготовить аналитический отчет по конкурентам к 9:45 утра на Артема.,создавать задача :  подготовить аналитический отчет по конкурент к 9 : 45 утро на артем,создавать задача,,"['9', '45', 'утро']"
Создай задачу: Организовать презентацию новой стратегии к 12:15 завтра на Веру.,создавать задача :  организовывать презентация новый стратегия к 12 : 15 завтра на вера,создавать задача,вера,"['12', '15', 'завтра']"
Создай задачу: Проверить исполнение контракта к 14:30 сегодня на Маргариту.,создавать задача :  проверять исполнение контракт к 14 : 30 сегодня на маргарита,создавать задача,маргарита,"['14', '30', 'сегодня']"
Создай задачу: Отправить уведомление о переносе совещания к 17:45 утра завтра на Глеба.,создавать задача :  отправлять уведомление о перенос совещание к 17 : 45 утро завтра на глеб,создавать задача,глеб,"['17', '45', 'утро', 'завтра']"
Создай задачу: Подготовить отчет о результатах исследования к 10:15 утра на Надежду.,создавать задача :  подготовить отчет о результат исследование к 10 : 15 утро на надежда,создавать задача,надежда,"['10', '15', 'утро']"
Создай задачу: Разработать план мероприятий к 13:30 сегодня на Антона.,создавать задача :  разрабатывать план мероприятие к 13 : 30 сегодня на антон,создавать задача,антон,"['13', '30', 'сегодня']"
Создай задачу: Провести обзор конкурентов к 16:45 завтра на Елену.,создавать задача :  проводить обзор конкурент к 16 : 45 завтра на елена,создавать задача,елена,"['16', '45', 'завтра']"
Создай задачу: Отправить приглашение на совещание к 9:00 утра на Павла.,создавать задача :  отправлять приглашение на совещание к 9 : 00 утро на павел,создавать задача,павел,"['9', '00', 'утро']"
Создай задачу: Подготовить письмо с благодарностью к 11:30 утра на Ольгу.,создавать задача :  подготовить письмо с благодарность к 11 : 30 утро на ольга,создавать задача,ольга,"['11', '30', 'утро']"
Создай задачу: Отправить уведомление о срочной встрече к 14:00 сегодня на Василия.,создавать задача :  отправлять уведомление о срочный встреча к 14 : 00 сегодня на василий,создавать задача,василий,"['14', '00', 'сегодня']"
Создай задачу: Разработать стратегию по снижению издержек к 17:15 завтра на Ирину.,создавать задача :  разрабатывать стратегия по снижение издержки к 17 : 15 завтра на ирина,создавать задача,ирина,"['17', '15', 'завтра']"
Создай задачу: Проверить выполнение плана работ к 10:45 утра на Станислава.,создавать задача :  проверять выполнение план работа к 10 : 45 утро на станислав,создавать задача,станислав,"['10', '45', 'утро']"
Создай задачу: Отправить запрос на информацию по проекту к 13:00 сегодня на Софию.,создавать задача :  отправлять запрос на информация по проект к 13 : 00 сегодня на софия,создавать задача,софия,"['13', '00', 'сегодня']"
Создай задачу: Подготовить промо-материалы к 15:30 сегодня на Григория.,создавать задача :  подготовить промой - материал к 15 : 30 сегодня на григорий,создавать задача,григорий,"['15', '30', 'сегодня']"
Создай задачу: Провести анализ эффективности рекламы к 16:45 утра завтра на Ангелину.,создавать задача :  проводить анализ эффективность реклама к 16 : 45 утро завтра на ангелина,создавать задача,ангелина,"['16', '45', 'утро', 'завтра']"
Создай задачу: Организовать собрание с партнерами к 11:15 утра на Игоря.,создавать задача :  организовывать собрание с партнер к 11 : 15 утро на игорь,создавать задача,игорь,"['11', '15', 'утро']"
Создай задачу: Подготовить материалы для пресс-релиза к 14:30 завтра на Валентина.,создавать задача :  подготовить материал для пресс-релиз к 14 : 30 завтра на валентина,создавать задача,валентина,"['14', '30', 'завтра']"
Создай задачу: Проверить правильность заполнения отчетных форм к 17:00 сегодня на Алису.,создавать задача :  проверять правильность заполнение отчетный форма к 17 : 00 сегодня на алиса,создавать задача,алиса,"['17', '00', 'сегодня']"
Создай задачу: Разработать план обучения сотрудников к 9:30 утра на Владимира.,создавать задача :  разрабатывать план обучение сотрудник к 9 : 30 утро на владимир,создавать задача,владимир,"['9', '30', 'утро']"
Создай задачу: Отправить уведомление о срочном совещании к 12:45 утра на Анну.,создавать задача :  отправлять уведомление о срочный совещание к 12 : 45 утро на анна,создавать задача,анна,"['12', '45', 'утро']"
Создай задачу: Подготовить презентацию нового продукта к 15:15 сегодня на Елену.,создавать задача :  подготовить презентация новый продукт к 15 : 15 сегодня на елена,создавать задача,елена,"['15', '15', 'сегодня']"
Создай задачу: Проверить исполнение контракта к 16:30 утра завтра на Веронику.,создавать задача :  проверять исполнение контракт к 16 : 30 утро завтра на вероника,создавать задача,вероника,"['16', '30', 'утро', 'завтра']"
Создай задачу: Отправить приглашение на вебинар к 10:00 утра на Ирину.,создавать задача :  отправлять приглашение на вебинар к 10 : 00 утро на ирина,создавать задача,ирина,"['10', '00', 'утро']"
Создай задачу: Разработать стратегию по улучшению клиентского сервиса к 13:30 сегодня на Полину.,создавать задача :  разрабатывать стратегия по улучшение клиентский сервис к 13 : 30 сегодня на полина,создавать задача,полина,"['13', '30', 'сегодня']"
